id,pontos,linhas_previstas,linhas_reais,rodadas_de_spec,spec_drift,rodadas_de_ci,retrabalho_pos_review,custo_tokens,horas_ate_merge
TCK-001,5,400,523,2,0,1,0,92000,1
TCK-004,3,250,170,1,0,1,0,79000,1
TCK-008,3,300,330,2,0,1,0,120000,1
TCK-002,2,150,263,1,0,1,0,95000,1
TCK-003,3,300,336,1,0,1,0,100000,1
TCK-005,5,400,573,2,0,1,0,120000,1
TCK-010,3,300,286,2,0,1,0,95000,1
TCK-011,2,250,357,2,0,1,0,90000,1
TCK-013,3,300,301,1,0,1,0,105000,1
TCK-006,5,400,483,2,0,1,0,150000,1
TCK-009,5,400,450,2,0,1,0,130000,1
TCK-007,3,300,693,2,0,1,0,160000,1
TCK-012,3,300,450,2,0,1,0,120000,1
TCK-014,5,400,634,2,0,1,0,90000,1
TCK-015,5,400,430,3,0,1,0,178000,1
TCK-019,3,300,154,3,0,2,0,109000,1
TCK-020,3,300,187,3,0,1,0,117000,1
TCK-021,3,300,156,3,0,2,1,109000,1
TCK-022,3,300,360,3,0,1,0,135000,1
TCK-017,2,200,171,3,0,1,1,105000,1
TCK-023,3,300,247,3,0,1,0,120000,1
TCK-024,3,300,368,3,1,1,0,152000,1
TCK-025,3,300,135,3,0,1,0,100000,1
TCK-016,3,300,231,3,0,1,0,120000,1
TCK-018,5,400,314,3,0,1,0,143000,1
TCK-026,3,350,0,2,0,1,0,0,1
TCK-029,3,300,0,2,0,1,0,0,1
TCK-033,3,300,0,1,0,1,0,0,1
TCK-040,3,300,0,2,0,1,0,0,1
TCK-027,3,250,0,1,0,1,0,0,1
TCK-028,2,150,0,2,0,1,0,0,1
TCK-030,5,400,0,2,0,1,0,0,1
TCK-031,3,300,0,2,0,1,0,0,1
TCK-032,3,300,0,2,0,2,0,0,1
TCK-043,3,300,0,2,0,2,0,0,1
TCK-034,2,200,0,2,0,2,1,0,1
TCK-035,3,350,0,2,0,1,1,0,1
TCK-044,3,380,0,2,0,2,1,0,1
TCK-045,3,400,0,2,0,2,1,0,1
TCK-036,3,400,0,2,0,1,1,0,1
TCK-046,3,400,0,2,0,1,1,0,1
TCK-037,3,400,0,2,0,1,2,0,1
TCK-047,3,400,0,2,0,1,2,0,1
TCK-038,3,400,0,2,0,1,2,0,1
TCK-048,3,400,0,2,0,1,2,0,1
TCK-039,3,400,0,2,0,1,2,0,1
TCK-049,3,400,0,2,0,1,2,0,1
TCK-041,5,450,0,2,0,1,2,0,1
TCK-042,5,500,0,2,0,1,2,0,1
TCK-050,3,315,353,2,0,1,1,1,1
TCK-051,3,180,178,2,0,1,1,1,1
TCK-052,2,70,74,2,0,1,0,1,1
TCK-053,3,300,544,2,0,1,1,1,1
TCK-054,5,275,290,2,0,1,1,1,1
TCK-055,5,450,472,2,0,1,1,1,1
TCK-056,3,300,343,2,0,1,1,1,1
TCK-058,5,600,669,2,0,1,1,1,1
TCK-057,3,250,228,2,0,1,1,1,1
TCK-059,2,150,88,2,0,1,1,1,1
TCK-060,5,620,1511,2,0,1,1,1,1
TCK-061,4,400,696,2,0,1,1,1,1
TCK-062,3,800,896,2,0,1,0,1,1
TCK-063,3,650,677,2,0,1,1,1,1
TCK-064,3,350,390,2,0,1,1,1,1
TCK-065,3,650,656,2,0,1,1,1,1
TCK-066,5,780,1333,1,0,1,1,1,1
TCK-067,5,550,832,2,0,1,1,1,1
TCK-068,2,150,179,1,0,1,0,1,1
TCK-069,5,480,905,2,0,1,1,1,1
TCK-070,5,617,1271,1,0,1,1,1,1
TCK-071,5,540,645,2,0,1,1,1,1
